Game at 1/5000. p1Winns25434. p2Winns7969. ties6397. 

Game at 2/5000. p1Winns30337. p2Winns7045. ties2418. 

Game at 3/5000. p1Winns27288. p2Winns10988. ties1524. 

Game at 4/5000. p1Winns37926. p2Winns1638. ties236. 

Game at 5/5000. p1Winns24871. p2Winns14691. ties238. 

Game at 6/5000. p1Winns14635. p2Winns10159. ties15006. 

Game at 7/5000. p1Winns34320. p2Winns5354. ties126. 

Game at 8/5000. p1Winns269. p2Winns39531. ties0. 

Game at 9/5000. p1Winns30700. p2Winns9100. ties0. 

Game at 10/5000. p1Winns39800. p2Winns0. ties0. 

Game at 11/5000. p1Winns39800. p2Winns0. ties0. 

Game at 12/5000. p1Winns39800. p2Winns0. ties0. 

Game at 13/5000. p1Winns39800. p2Winns0. ties0. 

Game at 14/5000. p1Winns39800. p2Winns0. ties0. 

Game at 15/5000. p1Winns39800. p2Winns0. ties0. 

Game at 16/5000. p1Winns39800. p2Winns0. ties0. 

Game at 17/5000. p1Winns39800. p2Winns0. ties0. 

Game at 18/5000. p1Winns39800. p2Winns0. ties0. 

Game at 19/5000. p1Winns39800. p2Winns0. ties0. 

Game at 20/5000. p1Winns39800. p2Winns0. ties0. 

Game at 21/5000. p1Winns39800. p2Winns0. ties0. 

Game at 22/5000. p1Winns39800. p2Winns0. ties0. 

Game at 23/5000. p1Winns39800. p2Winns0. ties0. 

Game at 24/5000. p1Winns39800. p2Winns0. ties0. 

Game at 25/5000. p1Winns39800. p2Winns0. ties0. 

Game at 26/5000. p1Winns39800. p2Winns0. ties0. 

Game at 27/5000. p1Winns39800. p2Winns0. ties0. 

Game at 1/5000. p1Winns25509. p2Winns8637. ties5654. 

Game at 2/5000. p1Winns11736. p2Winns7744. ties20320. 

Game at 3/5000. p1Winns35950. p2Winns3431. ties419. 

Game at 4/5000. p1Winns37873. p2Winns1887. ties40. 

Game at 5/5000. p1Winns38630. p2Winns788. ties382. 

Game at 6/5000. p1Winns38822. p2Winns783. ties195. 

Game at 7/5000. p1Winns38641. p2Winns1159. ties0. 

Game at 8/5000. p1Winns39402. p2Winns199. ties199. 

Game at 9/5000. p1Winns39800. p2Winns0. ties0. 

Game at 10/5000. p1Winns39800. p2Winns0. ties0. 

the whole turny. p1Winns24628. p2Winns346163. ties27209. 
firstGame. p1Winns25509. p2Winns8637. ties5654. 
lastGame. p1Winns39800. p2Winns0. ties0.
Game at 1/5000. p1Winns25420. p2Winns8417. ties5963. 

Game at 2/5000. p1Winns19150. p2Winns18087. ties2563. 

Game at 3/5000. p1Winns28238. p2Winns9915. ties1647. 

Game at 4/5000. p1Winns20408. p2Winns2114. ties17278. 

Game at 5/5000. p1Winns32249. p2Winns7500. ties51. 

Game at 6/5000. p1Winns36558. p2Winns3097. ties145. 

Game at 7/5000. p1Winns15634. p2Winns2850. ties21316. 

Game at 8/5000. p1Winns29357. p2Winns10245. ties198. 

Game at 9/5000. p1Winns39800. p2Winns0. ties0. 

Game at 10/5000. p1Winns39800. p2Winns0. ties0. 

Game at 11/5000. p1Winns39800. p2Winns0. ties0. 

Game at 12/5000. p1Winns39800. p2Winns0. ties0. 

Game at 13/5000. p1Winns39800. p2Winns0. ties0. 

Game at 14/5000. p1Winns39800. p2Winns0. ties0. 

Game at 15/5000. p1Winns39800. p2Winns0. ties0. 

Game at 16/5000. p1Winns39800. p2Winns0. ties0. 

Game at 17/5000. p1Winns39800. p2Winns0. ties0. 

Game at 18/5000. p1Winns39800. p2Winns0. ties0. 

Game at 19/5000. p1Winns39800. p2Winns0. ties0. 

Game at 20/5000. p1Winns39800. p2Winns0. ties0. 

Game at 21/5000. p1Winns39800. p2Winns0. ties0. 

Game at 22/5000. p1Winns39800. p2Winns0. ties0. 

Game at 23/5000. p1Winns39800. p2Winns0. ties0. 

Game at 24/5000. p1Winns39800. p2Winns0. ties0. 

Game at 25/5000. p1Winns39800. p2Winns0. ties0. 

Game at 26/5000. p1Winns39800. p2Winns0. ties0. 

Game at 27/5000. p1Winns39800. p2Winns0. ties0. 

Game at 28/5000. p1Winns39800. p2Winns0. ties0. 

Game at 29/5000. p1Winns39800. p2Winns0. ties0. 

Game at 30/5000. p1Winns39800. p2Winns0. ties0. 

Game at 31/5000. p1Winns39800. p2Winns0. ties0. 

Game at 1/5000. p1Winns26230. p2Winns8204. ties5366. 

Game at 2/5000. p1Winns13475. p2Winns22453. ties3872. 

Game at 3/5000. p1Winns16376. p2Winns4627. ties18797. 

Game at 4/5000. p1Winns34480. p2Winns4154. ties1166. 

Game at 5/5000. p1Winns34787. p2Winns4066. ties947. 

Game at 6/5000. p1Winns3641. p2Winns4065. ties32094. 

Game at 7/5000. p1Winns38251. p2Winns1155. ties394. 

Game at 8/5000. p1Winns39408. p2Winns196. ties196. 

Game at 9/5000. p1Winns792. p2Winns197. ties38811. 

Game at 10/5000. p1Winns199. p2Winns39601. ties0. 

Game at 11/5000. p1Winns39601. p2Winns199. ties0. 

Game at 12/5000. p1Winns39800. p2Winns0. ties0. 

Game at 13/5000. p1Winns39800. p2Winns0. ties0. 

Game at 14/5000. p1Winns39800. p2Winns0. ties0. 

